archivo_origen,mes_carpeta,extension,tipo_error,detalle,requiere_revision_manual
Promociones\JULIO\9465_DESCUENTO COLABORADORES BED BATH & BEYOND.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\JULIO\9466_HASTA 50_ DE DESCUENTO EN LENTES- MEC 14096.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9467_TARJETA JOVEN.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\JULIO\9468_COMPRAS Y MAX - MODIFICACION DE MECANICAS TECNOLOGÍA 12.07.24.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9469_MODIFICACION DE MECANICAS TECNOLOGÍA 15.07.24.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\JULIO\9470_Compras y max - MATERIAL DE EXHIBICIÓN PROMO STAMP STICK.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\JULIO\9471_Compras y max - REACTIVACIÓN DE LA MECANICA 14054 - PISTOLA ETIQUETADORA.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\JULIO\9472_Compras y max - ACTUALIZACIÓN DE PRECIO CUTTER OMX.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9473_Compras y max - DESCUENTO ULT PZAS MG.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9474_Compras y max - EXTENSIÓN MECANICA 14053 OFICINA.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9476_COMPRAS Y MAX - MODIFICACION DE MECANICAS TECNOLOGÍA 17.07.24.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9477_Compras y max - CAMBIO PRECIO MUEBLES 18 JUL (1).doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9478_Boletín Compras y Max  (Area Bed Bath & Beyond).docx,JULIO,.docx,advertencia,sin SKU detectable,SI
Promociones\JULIO\9479_Boletín Compras y Max (actualización de cabeceras  BTS 2024).docx,JULIO,.docx,advertencia,sin SKU detectable,SI
Promociones\JULIO\9480_Compras y max - RESGUARDO DE BOLSA BTS-.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\JULIO\9481_30_ EN ARTICULOS SELECCIONADOS DEL SUBDEPTO DE CAJAS PLASTICAS- COMPRAS Y MAX.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9482_40_ DE DESCUENTO EN ORGANIZACIÓN- MEC.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9483_PAPELERIA_JULIO 2024 CUARTA SEMANA.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9484_Compras y max - EXHIBICIÓN SELLO STAMP STICK.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\JULIO\9485_Compras y max - stoppers descuento.doc,JULIO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
