prod_nbr,prod_nm,dept_cd,apparent_unit_cost
50115975,ESCRITORIO EN L CASSEL GRIS,1,2816.341533
50115980,ESCRITORIO ESTUDIANTIL STUM GR,1,1319.030331
50116143,ESCRITORIO DE TRABAJO PASCAL,1,2958.081
50116173,MESA DE TV BICOLOR,1,2520
50116202,SILLA DE VISITA BERIT,1,1585.458
50116615,ARCHIVERO PROF NEGRO 4 GAVETAS,1,8841.509264
50116616,ARCHIVERO PROF BLANCO 4 GAVETA,1,8948.1
50116617,ARCHIVERO PROF GRIS 4 GAVETAS,1,8580.977889
50116618,LOCKER PROFESIONAL NEGR 4PUERT,1,4784.978049
50116619,LOCKER PROFESIONAL GRIS 4PUERT,1,4910.016774
50116700,ESCRITORIO DE TRABAJO LIRIO,1,2130.630352
50116703,ESCRITORIO PLEGABLE CAB,1,1397.365243
50116885,SILLA BASICA DE OFIC ATLANTIS,1,3039.981
50116969,ARCHIVERO ORGANIZADOR METALICO,1,3864.554253
50116970,ESCRITORIO CON LIBRERO ORLANDO,1,2772
50117285,ESCRITORIO EN L CASTILLA MAPLE,1,3237.818328
50117667,SILLA EJECUTIVA EARTH NEGRO,1,3796.020765
50117668,SILLA BASICA DE OFI OLIMPIA,1,2126.811259
50117669,SILLA DE VISITA ALFI NEGRO,1,2562.646572
50117670,SILLA BASICA DE OFICINA ALFI,1,2665.924709
50117674,SILLA EJECUTIVA CRETA,1,2535.961201
50117675,SILLA EJECUTIVA KARU,1,2405.363116
50117676,SILLA EJECUTIVA CABII,1,3978.58733
50117677,SILLA EJECUTIVA MANTU,1,4653.530102
50117679,SILLA EJECUTIVA PANIENKA,1,7445.946415
50117680,ESCRITORIO ESTUDIANTIL NERO,1,3912.153
50117681,SILLA EJECUTIVA SYKUR GRIS,1,5147.341809
50117682,SILLA EJECUTIVA CATUR,1,4203.066
50117683,SILLA EJECUTIVA KALLIS,1,3309.032183
50117684,SILLA EJECUTIVA SAIS,1,3925.550443
50117685,ESCRITORIO EN L LUXOR,1,4143.408204
50117686,ESCRITORIO DE TRABAJO THASSO,1,2248.525072
50117687,ESCRITORIO DE TRABAJO BURGO,1,3193.637611
50117688,SILLA EJECUTIVA LEPTIS,1,2659.54309
50117689,SILLA EJECTIVA ANNIK,1,3721.1489
50117690,ESCRITORIO DE TRABAJO TOULOUSE,1,2427.773393
50117691,ESCRITORIO ESTUDIANTIL HELMI,1,4573.577593
50117692,SILLA DE OFICINA ENNA GRIS,1,1551.583093
50117693,SILLA DE OFICINA ENNA ROSA,1,1688.922132
50117694,SILLA PLEGABLE KINDA NEGRA,1,566.4111147
50117695,ESCRITORIO EN L RIETI,1,6751.880628
50117696,SILLA EJECUTIVA BOLONIA,1,3836.378023
50117699,SILLA EJECUTIVA SYKUR ROSA,1,5574.845918
50117706,RESTIRADOR KOJOT NEGRO,1,5354.698664
50117707,ESCRITORIO DE TRABAJO ARCO,1,3815.864466
50117708,ESCRITORIO DE TRABAJO KUEL,1,3831.393687
50117709,ESCRITORIO DE TRABAJO BRUKE,1,3270.294368
50117710,ESCRITORIO EN L UNTAU,1,4969.230615
50117711,ESCRITORIO DE TRABAJO SEGRETI,1,3286.311
50117747,SILLA LACERTA EJECUTIVA,1,10454.409
50117950,ESCRITORIO INFANTIL GUIDO,1,1926.340043
50117951,ESCRITORIO BASICO SALVATORE,1,1568.7
50117952,ESCRITORIO CON CAJON ALESSIO,1,2916.9
50117953,ESCRITORIO ESCUADRA CON LIBRER,1,5071.5
50118068,SILLA PLEGABLE NAIROBI,1,633.0886514
50118069,MESA PLEGABLE NAIROBI,1,1980.24494
50118133,LIBRERO ALLTEREGO EURO,1,0.021
50118226,ESCRITORIO ALTEREGO EURO,1,0.021
50118272,CAJONERA ALTEREGO PREMIUM,1,11054.4
50118277,SILLA DE OFICINA HASHTAG,1,2212.308
50118280,SILLA ALTEREGO OSLO,1,1031.52
50118284,SILLA DE OFICINA ROLET,1,3602.718
50118438,SILLA EJECUTIVA BRAD,1,3320.144338
50118439,SOFA 2 PLAZAS COBAR,1,5752.91325
50118441,SOFA  2 PLAZAS COBAR,1,9053.009929
50118444,SOFA 3 PLAZAS COBAR,1,8343.405
50118445,SOFA 3 PLAZAS COBAR,1,9214.669712
50118447,SILLA DE OFICINA AXEL,1,2488.374
50118669,CAJA DE SEGURIDAD DIGITAL,1,2525.431518
50121538,SILLA DE VISITA AMAN,1,1021.625687
50121539,SILLA BASICA DE OFICINA NEVEZ,1,1923.81832
50121799,ESCRITORIO DE TRABAJO EMERGE 1200,1,4588.616667
50121800,ESCRITORIO DE TRABAJO CAJONES EMERGE 120,1,6927.9
50121801,ESCRITORIO DE TRABAJO EMERGE 1500,1,6330.545455
50121802,ESCRITORIO DE TRABAJO CAJONES EMERGE 150,1,10530.53077
50121803,ESCRITORIO EN L EMERGE 1500,1,7245
50121804,ESCRITORIO EN L CON CAJONES EMERGE,1,12035.1
50121805,LIBRERO 4 REPISAS EMERGE 1800,1,8295
50121806,LIBRERO 4 REPISAS C/PUERTAS EMERGE 1800,1,13887.3
50121807,LIBRERO 2 REPISAS EMERGE 1200,1,6094.2
50121808,MESA DE JUNTAS EMERGE 1200,1,6673.557692
50121809,MESA DE JUNTAS EMERGE 2400,1,7875
50121811,REPISAS PARA ESCRITORIO EMERGE 1500,1,8605.8
50121813,MAMPARA PARA RECEPCION EMERGE 1500,1,2730
50121909,ESCRITORIO EN L WELS GRIS,1,7234.416
50122769,MESA DE JUNTAS DANISH,1,11153.625
50122770,PUPITRE SHELL CON PALETA   DERECHO,1,2599.8
50122819,ESCRITORIO EPSE17071L,1,2545.2
50122985,MESAS AUXILIARES MADERA DE CAUCHO,1,3106.2444
50123476,ESCRITORIO EN L ELEVVA DESK-11 CAFENEGRO,1,2349.9
50123477,ESCRITORIO ELEVVA DESK-12 REPISAS CAFE,1,2328.9
50123478,SILLA EJECUTIVA ELEVVA SILL-Q2N NEGRA,1,2267.821023
50123479,SILLA EJECUTIVA ELEVVA SILL-Q2G GRIS,1,2370.9
50123480,SILLA EJECUTIVA ELEVVA MEGAPLUS NEGRA,1,3588.9
50123482,SILLA GAMER ELEVVA SAMUS NEGRA,1,4806.9
50123484,SILLA EJECUTIVA ELEVVA PEACE NEGRA,1,4323.9
50123530,ARCHIVERO MADERA PARA COLGAR BLANCO,1,659.988
50123531,BANCA ORG 3 COMPARTIMENTOS ESPRESSO,1,2613.261
50123532,BANCA ORG MADERA 3 COMPARTIMENTOS GRIS,1,2664.879
50123534,BANCO ALTO MADERA Y METAL CAFE NEGRO,1,1580.313
50123536,BANCO COCINA MADERA CAFE NOGAL,1,2832.186
50123537,BANCO COCINA MADERA SIN RESPALDO BLANCO,1,2746.905
50123539,BASE ANTIDESLIZANTE PARA TAPETE ENTRADA,1,254.331
50123586,CARRITO SERVICIO METAL BEE WILLOW HOME,1,3775.905
50123647,ESCRITORIO MDF TIPO MARMOL BLANCO,1,5834.01
50123648,ESCRITORIO COMPUTADORA SIMPLY ESSENTIAL,1,1876.098
50123650,ESCRITORIO PORTATIL MADERA,1,700.14
50123655,ESPEJO BASE CERAMICA BLANCO,1,520.632
50123656,ESPEJO CON BASE CERAMICA AZUL,1,527.625
50123657,ESPEJO DOBLE CON AUMENTO BLANCO,1,464.478
50123658,ESPEJO DOBLE CON AUMENTO NEGRO,1,464.541
50123659,ESPEJO DOBLE CON AUMENTO AZUL,1,457.674
